GenName	ExpressionLevel
GENE.847	5.64474960495984e-05
GENE.848	1.53111170416997e-05
GENE.849	4.51239153326025e-05
GENE.850	4.51068745790997e-05
GENE.851	4.51068745790997e-05
GENE.852	8.52037670279193e-09
GENE.853	4.5157996839823e-07
GENE.854	2.49902650436007e-05
GENE.855	5.13778718759517e-06
GENE.856	4.32749935752041e-05
GENE.857	1.47913740592004e-05
GENE.858	6.60329199069637e-06
GENE.859	2.1300941899921e-07
GENE.860	1.69555497570029e-06
GENE.861	5.56380602570461e-06
GENE.862	2.55611302957259e-08
GENE.863	1.08208784880409e-06
GENE.864	3.10993751819616e-06
GENE.865	8.92083447001993e-05
GENE.866	8.94895171334037e-05
GENE.867	7.24232024795768e-07
GENE.868	7.41272778305435e-07
GENE.869	3.15424347736987e-05
GENE.870	3.15253940200988e-05
GENE.871	2.55611303026648e-08
GENE.872	5.11222605983908e-08
GENE.873	0.0
GENE.874	8.52037670279193e-09
GENE.875	4.46638149874945e-05
